reference_product,unit,process_role,category,dataset_count
"chromium steel removed by turning, primarily dressing, conventional",kilogram,market,processing/Metals/Chipping/Market,1
"chromium steel removed by turning, primarily dressing, conventional",kilogram,transformation,processing/Metals/Chipping/Transformation,2
"chromium steel removed by turning, primarily roughing, computer numerical controlled",kilogram,market,processing/Metals/Chipping/Market,1
"chromium steel removed by turning, primarily roughing, computer numerical controlled",kilogram,transformation,processing/Metals/Chipping/Transformation,2
"chromium steel removed by turning, primarily roughing, conventional",kilogram,market,processing/Metals/Chipping/Market,1
"chromium steel removed by turning, primarily roughing, conventional",kilogram,transformation,processing/Metals/Chipping/Transformation,2
citric acid,kilogram,market,material/Chemicals/Acids (organic)/Market,1
citric acid,kilogram,transformation,material/Chemicals/Acids (organic)/Transformation,4
citrus,kilogram,market,material/Others/Obsolete,1
citrus,kilogram,transformation,material/Others/Obsolete,1
"cladding, crossbar-pole, aluminium",square meter,market,material/Construction/Cladding/Market,1
"cladding, crossbar-pole, aluminium",square meter,transformation,material/Construction/Cladding/Transformation,2
clay,kilogram,market,material/Minerals/Market,2
clay,kilogram,market,material/Others/Obsolete,1
clay,kilogram,transformation,material/Minerals/Transformation,2
clay brick,kilogram,market,material/Construction/Bricks/Market,1
clay brick,kilogram,transformation,material/Construction/Bricks/Transformation,2
clay pit infrastructure,unit,market,material/Minerals/Market/Infrastructure,1
clay pit infrastructure,unit,transformation,material/Minerals/Transformation/Infrastructure,2
clay plaster,kilogram,market,material/Construction/Coverings/Market,1
clay plaster,kilogram,transformation,material/Construction/Coverings/Transformation,3
"cleaning consumables, without water, in 13.6% solution state",kilogram,market,material/Chemicals/Others/Market,1
"cleaning consumables, without water, in 13.6% solution state",kilogram,transformation,material/Chemicals/Others/Transformation,1
"cleft timber, measured as dry mass",kilogram,market,material/Others/Obsolete,1
"cleft timber, measured as dry mass",kilogram,market,material/Wood/Extraction/Market,4
"cleft timber, measured as dry mass",kilogram,transformation,material/Others/Obsolete,2
"cleft timber, measured as dry mass",kilogram,transformation,material/Wood/Extraction/Transformation,20
clefting of energy wood,hour,market,processing/Wood/Market,1
clefting of energy wood,hour,transformation,processing/Wood/Transformation,2
clinker,kilogram,market,material/Chemicals/Inorganic/Market,8
clinker,kilogram,market,material/Others/Obsolete,1
clinker,kilogram,transformation,material/Chemicals/Inorganic/Transformation,10
"clover seed, Swiss integrated production, at farm",kilogram,market,material/Agricultural/Plant seeds/Market,1
"clover seed, Swiss integrated production, at farm",kilogram,transformation,material/Agricultural/Plant seeds/Transformation,1
"clover seed, Swiss integrated production, at farm",kilogram,transformation,material/Others/Obsolete,1
"clover seed, Swiss integrated production, for sowing",kilogram,market,material/Agricultural/Plant seeds/Market,1
"clover seed, Swiss integrated production, for sowing",kilogram,transformation,material/Agricultural/Plant seeds/Transformation,1
"clover seed, Swiss integrated production, for sowing",kilogram,transformation,material/Others/Obsolete,1
coal gas,megajoule,market,material/Fuels/Coal/Market,1
coal gas,megajoule,market,waste treatment/Others/Obsolete,1
coal gas,megajoule,transformation,material/Fuels/Coal/Transformation,2
coal slurry,kilogram,market,waste treatment/Others/Market,1
coal slurry,kilogram,transformation,waste treatment/Others/Transformation,1
"coal stove, 5-15kW",unit,market,energy/Heat/Coal/Market/Infrastructure,1
"coal stove, 5-15kW",unit,transformation,energy/Heat/Coal/Transformation/Infrastructure,2
coal tar,kilogram,market,material/Fuels/Coal/Market,1
coal tar,kilogram,market,waste treatment/Others/Obsolete,1
coal tar,kilogram,transformation,material/Fuels/Coal/Market,1
coal tar,kilogram,transformation,material/Fuels/Coal/Transformation,2
coal tar,kilogram,transformation,waste treatment/Others/Obsolete,1
coating from waste cathode ray tube display,kilogram,market,waste treatment/Electronics waste/Market,2
coating from waste cathode ray tube display,kilogram,transformation,waste treatment/Electronics waste/Transformation,1
coating from waste cathode ray tube display,kilogram,transformation,waste treatment/Incineration/Municipal incineration/Transformation,2
coating powder,kilogram,market,material/Chemicals/Others/Market,2
coating powder,kilogram,market,material/Others/Obsolete,1
coating powder,kilogram,transformation,material/Chemicals/Others/Transformation,2
"coating, with melamine impregnated paper",square meter,market,processing/Others/Market,1
"coating, with melamine impregnated paper",square meter,transformation,processing/Others/Transformation,2
cobalt,kilogram,market,material/Metals/Non ferro/Market,1
cobalt,kilogram,transformation,material/Metals/Non ferro/Transformation,4
cobalt acetate,kilogram,market,material/Chemicals/Organic/Market,1
cobalt acetate,kilogram,transformation,material/Chemicals/Organic/Transformation,1
cobalt carbonate,kilogram,market,material/Chemicals/Inorganic/Market,1
cobalt carbonate,kilogram,transformation,material/Chemicals/Inorganic/Transformation,1
cobalt hydroxide,kilogram,market,material/Chemicals/Inorganic/Market,1
cobalt hydroxide,kilogram,transformation,material/Chemicals/Inorganic/Transformation,1
cobalt oxide,kilogram,market,material/Chemicals/Inorganic/Market,1
cobalt oxide,kilogram,transformation,material/Chemicals/Inorganic/Transformation,1
cobalt sulfate,kilogram,market,material/Chemicals/Inorganic/Market,2
cobalt sulfate,kilogram,transformation,material/Chemicals/Inorganic/Transformation,2
cobwork,kilogram,market,material/Construction/Coverings/Market,1
cobwork,kilogram,transformation,material/Construction/Coverings/Transformation,2
cocamide diethanolamine,kilogram,market,material/Chemicals/Organic/Market,1
cocamide diethanolamine,kilogram,transformation,material/Chemicals/Inorganic/Transformation,2
cocoa bean,kilogram,market,material/Agricultural/Plant production/Fruits/Market,1
cocoa bean,kilogram,transformation,material/Agricultural/Plant production/Fruits/Transformation,4
coconut husk,kilogram,market,material/Agricultural/Intermediate products/Market,1
coconut husk,kilogram,transformation,material/Agricultural/Intermediate products/Transformation,1
"coconut oil, crude",kilogram,market,material/Agricultural/Plant oils/Market,1
"coconut oil, crude",kilogram,transformation,material/Agricultural/Plant oils/Transformation,2
"coconut, dehusked",kilogram,market,material/Agricultural/Food/Market,1
"coconut, dehusked",kilogram,transformation,material/Agricultural/Food/Transformation,4
"coconut, husked",kilogram,market,material/Others/Obsolete,1
"coconut, husked",kilogram,transformation,material/Others/Obsolete,2
cocoons,kilogram,market,material/Agricultural/Intermediate products/Market,2
cocoons,kilogram,transformation,material/Agricultural/Intermediate products/Transformation,2
coffee maker,unit,market,material/Appliances/Market/Infrastructure,1
coffee maker,unit,transformation,material/Appliances/Transformation/Infrastructure,1
"coffee, green bean",kilogram,market,material/Agricultural/Plant production/Fruits/Market,1
"coffee, green bean",kilogram,transformation,material/Agricultural/Plant production/Fruits/Transformation,15
"coffee, green bean",kilogram,transformation,material/Others/Obsolete,1
coke,megajoule,market,material/Fuels/Coal/Market,1
coke,megajoule,transformation,material/Fuels/Coal/Market,1
coke,megajoule,transformation,material/Fuels/Coal/Transformation,2
"collector field area, solar thermal parabolic trough, 50 MW",unit,market,energy/Heat/Solar/Market/Infrastructure,1
"collector field area, solar thermal parabolic trough, 50 MW",unit,transformation,energy/Heat/Solar/Transformation/Infrastructure,2
"collector field area, solar tower power plant, 20 MW",unit,market,energy/Heat/Solar/Market/Infrastructure,1
"collector field area, solar tower power plant, 20 MW",unit,transformation,energy/Heat/Solar/Transformation/Infrastructure,2
combine harvesting,hectare,market,processing/Agricultural/Market,1
combine harvesting,hectare,transformation,processing/Agricultural/Transformation,6
compact fluorescent lamp,unit,market,material/Electronics/Component/Market,1
compact fluorescent lamp,unit,transformation,material/Electronics/Component/Transformation,1
compost,kilogram,market,processing/Waste/Market,1
compost,kilogram,transformation,material/Chemicals/Fertilisers (organic)/Transformation,6
compost,kilogram,transformation,waste treatment/Others/Obsolete,6
"composting facility, open",unit,market,processing/Waste/Market/Infrastructure,1
"composting facility, open",unit,transformation,processing/Waste/Transformation/Infrastructure,2
"compressed air energy storage plant, 200 MW electrical",unit,market,processing/Compressed air/Market/Infrastructure,1
"compressed air energy storage plant, 200 MW electrical",unit,transformation,processing/Compressed air/Transformation/Infrastructure,2
"compressed air energy storage plant, adiabatic, 150 MW electrical",unit,market,processing/Compressed air/Market/Infrastructure,1
"compressed air energy storage plant, adiabatic, 150 MW electrical",unit,transformation,processing/Compressed air/Transformation/Infrastructure,2
"compressed air, 1000 kPa gauge",cubic meter,market,processing/Compressed air/Market,2
"compressed air, 1000 kPa gauge",cubic meter,market,processing/Others/Obsolete,1
"compressed air, 1000 kPa gauge",cubic meter,transformation,processing/Compressed air/Transformation,4
"compressed air, 1200 kPa gauge",cubic meter,market,processing/Compressed air/Market,2
"compressed air, 1200 kPa gauge",cubic meter,market,processing/Others/Obsolete,1
"compressed air, 1200 kPa gauge",cubic meter,transformation,processing/Compressed air/Transformation,4
"compressed air, 600 kPa gauge",cubic meter,market,processing/Compressed air/Market,2
"compressed air, 600 kPa gauge",cubic meter,market,processing/Others/Obsolete,1
"compressed air, 600 kPa gauge",cubic meter,transformation,processing/Compressed air/Transformation,6
"compressed air, 700 kPa gauge",cubic meter,market,processing/Compressed air/Market,2
"compressed air, 700 kPa gauge",cubic meter,market,processing/Others/Obsolete,1
"compressed air, 700 kPa gauge",cubic meter,transformation,processing/Compressed air/Transformation,6
"compressed air, 800 kPa gauge",cubic meter,market,processing/Compressed air/Market,2
"compressed air, 800 kPa gauge",cubic meter,market,processing/Others/Obsolete,1
"compressed air, 800 kPa gauge",cubic meter,transformation,processing/Compressed air/Transformation,10
"computer, desktop, without screen",unit,market,material/Electronics/Devices/Market,1
"computer, desktop, without screen",unit,transformation,material/Electronics/Devices/Transformation,1
"computer, laptop",unit,market,material/Electronics/Devices/Market,1
"computer, laptop",unit,transformation,material/Electronics/Devices/Transformation,1
"concentrated solar power plant, solar thermal parabolic trough, 50 MW",unit,market,energy/Heat/Solar/Market/Infrastructure,1
"concentrated solar power plant, solar thermal parabolic trough, 50 MW",unit,transformation,energy/Electricity by fuel/Photovoltaic/Transformation/Infrastructure,2
"concentrated solar power plant, solar tower, 20 MW",unit,market,energy/Heat/Solar/Market/Infrastructure,1
"concentrated solar power plant, solar tower, 20 MW",unit,transformation,energy/Heat/Solar/Transformation/Infrastructure,2
concrete block,kilogram,market,material/Construction/Concrete/Market,3
concrete block,kilogram,market,material/Others/Obsolete,1
concrete block,kilogram,transformation,material/Construction/Concrete/Transformation,3
concrete mixing factory,unit,market,material/Construction/Concrete/Market/Infrastructure,1
concrete mixing factory,unit,transformation,material/Construction/Concrete/Transformation/Infrastructure,2
concrete roof tile,kilogram,market,material/Construction/Concrete/Market,1
concrete roof tile,kilogram,transformation,material/Construction/Concrete/Transformation,2
concrete slab,cubic meter,market,material/Construction/Concrete/Market,2
concrete slab,cubic meter,transformation,material/Construction/Concrete/Transformation,2
"concrete, 20MPa",cubic meter,market,material/Construction/Concrete/Market,5
"concrete, 20MPa",cubic meter,market,material/Others/Obsolete,1
"concrete, 20MPa",cubic meter,transformation,material/Construction/Concrete/Transformation,13
"concrete, 20MPa",cubic meter,transformation,material/Others/Obsolete,8
"concrete, 25-30MPa",cubic meter,market,material/Construction/Concrete/Market,1
"concrete, 25-30MPa",cubic meter,market,material/Others/Obsolete,1
"concrete, 25-30MPa",cubic meter,transformation,material/Construction/Concrete/Transformation,1
"concrete, 25-30MPa",cubic meter,transformation,material/Others/Obsolete,1
"concrete, 25MPa",cubic meter,market,material/Construction/Concrete/Market,6
"concrete, 25MPa",cubic meter,market,material/Others/Obsolete,1
"concrete, 25MPa",cubic meter,transformation,material/Construction/Concrete/Transformation,17
"concrete, 25MPa",cubic meter,transformation,material/Others/Obsolete,4
"concrete, 30-32MPa",cubic meter,market,material/Construction/Concrete/Market,1
"concrete, 30-32MPa",cubic meter,market,material/Others/Obsolete,2
"concrete, 30-32MPa",cubic meter,transformation,material/Construction/Concrete/Transformation,2
"concrete, 30-32MPa",cubic meter,transformation,material/Others/Obsolete,1
"concrete, 30MPa",cubic meter,market,material/Construction/Concrete/Market,5
"concrete, 30MPa",cubic meter,transformation,material/Construction/Concrete/Transformation,17
"concrete, 30MPa",cubic meter,transformation,material/Others/Obsolete,5
"concrete, 35MPa",cubic meter,market,material/Construction/Concrete/Market,4
"concrete, 35MPa",cubic meter,market,material/Others/Obsolete,1
"concrete, 35MPa",cubic meter,transformation,material/Construction/Concrete/Transformation,10
"concrete, 35MPa",cubic meter,transformation,material/Others/Obsolete,1
"concrete, 37MPa",cubic meter,market,material/Construction/Concrete/Market,1
"concrete, 37MPa",cubic meter,transformation,material/Construction/Concrete/Transformation,6
"concrete, 40MPa",cubic meter,market,material/Construction/Concrete/Market,5
"concrete, 40MPa",cubic meter,transformation,material/Construction/Concrete/Transformation,13
"concrete, 40MPa",cubic meter,transformation,material/Others/Obsolete,3
"concrete, 45MPa",cubic meter,market,material/Construction/Concrete/Market,2
"concrete, 45MPa",cubic meter,transformation,material/Construction/Concrete/Transformation,2
"concrete, 45MPa",cubic meter,transformation,material/Others/Obsolete,1
"concrete, 50MPa",cubic meter,market,material/Construction/Concrete/Market,3
"concrete, 50MPa",cubic meter,market,material/Others/Obsolete,1
"concrete, 50MPa",cubic meter,transformation,material/Construction/Concrete/Transformation,5
"concrete, for de-icing salt contact",cubic meter,market,material/Others/Obsolete,2
"concrete, for de-icing salt contact",cubic meter,transformation,material/Others/Obsolete,5
"concrete, high exacting requirements",cubic meter,market,material/Others/Obsolete,2
"concrete, high exacting requirements",cubic meter,transformation,material/Others/Obsolete,4
"concrete, medium strength",cubic meter,market,material/Construction/Concrete/Market,7
"concrete, medium strength",cubic meter,transformation,material/Construction/Concrete/Market,6
"concrete, normal",cubic meter,market,material/Others/Obsolete,1
"concrete, normal",cubic meter,transformation,material/Others/Obsolete,4
"concrete, normal strength",cubic meter,market,material/Construction/Concrete/Market,10
"concrete, normal strength",cubic meter,transformation,material/Construction/Concrete/Transformation,9
"concrete, sole plate and foundation",cubic meter,market,material/Others/Obsolete,2
"concrete, sole plate and foundation",cubic meter,transformation,material/Others/Obsolete,5
condensate from light oil boiler,cubic meter,market,waste treatment/Others/Market,2
condensate from light oil boiler,cubic meter,market,waste treatment/Others/Obsolete,1
condensate from light oil boiler,cubic meter,transformation,waste treatment/Wastewater treatment/Transformation,2
conditioned spent nuclear fuel,cubic meter,market,waste treatment/Nuclear waste/Market,3
conditioned spent nuclear fuel,cubic meter,market,waste treatment/Others/Obsolete,1
conditioned spent nuclear fuel,cubic meter,transformation,waste treatment/Nuclear waste/Transformation,3
"construction work, heat and power co-generation unit, 160kW electrical",unit,market,energy/Cogeneration/Gas/Market/Infrastructure,1
"construction work, heat and power co-generation unit, 160kW electrical",unit,transformation,energy/Cogeneration/Gas/Transformation/Infrastructure,2
"consumer electronics, mobile device, smartphone",unit,market,material/Electronics/Devices/Market,1
"consumer electronics, mobile device, smartphone",unit,transformation,material/Electronics/Devices/Transformation,1
"consumer electronics, mobile device, tablet",unit,market,material/Electronics/Devices/Market,1
"consumer electronics, mobile device, tablet",unit,transformation,material/Electronics/Devices/Transformation,1
container ship,unit,market,transport/Water/Market/Infrastructure,1
container ship,unit,transformation,transport/Water/Transformation/Infrastructure,1
"container, for collection of post-consumer waste plastic for recycling",unit,market,material/Plastics/Recycling/Market/Infrastructure,4
"container, for collection of post-consumer waste plastic for recycling",unit,transformation,material/Plastics/Recycling/Transformation/Infrastructure,4
"containerboard, fluting medium",kilogram,market,material/Paper+ Board/Board/Market,3
"containerboard, fluting medium",kilogram,transformation,material/Paper+ Board/Board/Transformation,5
"containerboard, linerboard",kilogram,market,material/Paper+ Board/Board/Market,3
"containerboard, linerboard",kilogram,transformation,material/Paper+ Board/Board/Transformation,6
"containerboard, unspecified",kilogram,market,material/Paper+ Board/Board/Market,1
"containerboard, unspecified",kilogram,transformation,material/Paper+ Board/Board/Transformation,1
"continuous dyeing, fibre, cotton",kilogram,market,processing/Textiles/Market,1
"continuous dyeing, fibre, cotton",kilogram,transformation,processing/Textiles/Transformation,1
"contouring, brass",kilogram,market,processing/Metals/Chipless shaping/Market,1
"contouring, brass",kilogram,transformation,processing/Metals/Chipless shaping/Transformation,3
"contouring, bronze",kilogram,market,processing/Metals/Chipless shaping/Market,1
"contouring, bronze",kilogram,transformation,processing/Metals/Chipless shaping/Transformation,3
"control cabinet, heat and power co-generation unit, 160kW electrical",unit,market,energy/Cogeneration/Gas/Market/Infrastructure,1
"control cabinet, heat and power co-generation unit, 160kW electrical",unit,transformation,energy/Cogeneration/Gas/Transformation/Infrastructure,2
"controller, for electric scooter",kilogram,market,material/Electronics/Component/Market,1
"controller, for electric scooter",kilogram,transformation,material/Electronics/Component/Transformation,1
"converter, for electric passenger car",kilogram,market,material/Electronics/Component/Market,1
"converter, for electric passenger car",kilogram,transformation,material/Electronics/Component/Transformation,1
conveyor belt,meter,market,transport/Building equipment/Market/Infrastructure,1
conveyor belt,meter,transformation,transport/Building equipment/Transformation/Infrastructure,2
cookstove,unit,market,material/Appliances/Market/Infrastructure,1
cookstove,unit,transformation,material/Appliances/Transformation/Infrastructure,1
cooling energy,megajoule,market,energy/Cogeneration/Gas/Market,1
cooling energy,megajoule,transformation,energy/Cogeneration/Gas/Transformation,2
copper,kilogram,market,material/Others/Obsolete,1
copper,kilogram,transformation,material/Others/Obsolete,9
copper cake,kilogram,market,material/Metals/Non ferro/Market,1
copper cake,kilogram,market,waste treatment/Others/Obsolete,1
copper cake,kilogram,transformation,material/Metals/Non ferro/Transformation,3
copper carbonate,kilogram,market,material/Chemicals/Inorganic/Market,1
copper carbonate,kilogram,transformation,material/Chemicals/Inorganic/Transformation,2
"copper collector foil, for Li-ion battery",kilogram,market,material/Electronics/Battery/Market,1
"copper collector foil, for Li-ion battery",kilogram,transformation,material/Electronics/Battery/Transformation,1
"copper concentrate, sulfide ore",kilogram,market,material/Minerals/Market,1
"copper concentrate, sulfide ore",kilogram,transformation,material/Minerals/Transformation,16
"copper concentrate, sulfide ore",kilogram,transformation,material/Others/Obsolete,4
copper in car shredder residue,kilogram,market,waste treatment/Metals/Market,2
copper in car shredder residue,kilogram,market,waste treatment/Others/Obsolete,1
copper in car shredder residue,kilogram,transformation,waste treatment/Metals/Transformation,3
copper oxide,kilogram,market,material/Chemicals/Inorganic/Market,1
copper oxide,kilogram,transformation,material/Chemicals/Inorganic/Transformation,2
"copper scrap, sorted, pressed",kilogram,market,material/Metals/Waste metals/Market,1
"copper scrap, sorted, pressed",kilogram,market,waste treatment/Others/Obsolete,1
"copper scrap, sorted, pressed",kilogram,transformation,material/Metals/Non ferro/Transformation,1
copper slag,kilogram,market,waste treatment/Others/Market,1
copper slag,kilogram,transformation,waste treatment/Landfill/Residual material landfill/Transformation,1
copper smelting facility,unit,market,material/Metals/Non ferro/Market/Infrastructure,1
copper smelting facility,unit,transformation,material/Metals/Non ferro/Transformation/Infrastructure,2
copper sulfate,kilogram,market,material/Chemicals/Inorganic/Market,1
copper sulfate,kilogram,transformation,material/Chemicals/Inorganic/Transformation,2
copper telluride cement,kilogram,market,material/Metals/Non ferro/Market,1
copper telluride cement,kilogram,transformation,material/Metals/Non ferro/Transformation,1
"copper, anode",kilogram,market,material/Metals/Non ferro/Market,1
"copper, anode",kilogram,transformation,material/Metals/Non ferro/Transformation,7
"copper, blister-copper",kilogram,transformation,material/Others/Obsolete,2
"copper, cathode",kilogram,market,material/Metals/Non ferro/Market,1
"copper, cathode",kilogram,transformation,material/Metals/Non ferro/Transformation,19
"copper, from solvent-extraction electro-winning",kilogram,market,material/Others/Obsolete,1
copper-rich materials,kilogram,market,material/Metals/Non ferro/Market,1
copper-rich materials,kilogram,transformation,material/Metals/Non ferro/Market,2
core board,kilogram,market,material/Paper+ Board/Board/Market,1
core board,kilogram,transformation,material/Paper+ Board/Board/Transformation,3
core board (waste treatment),kilogram,transformation,waste treatment/Recycling/Transformation,1
coriander,kilogram,market,material/Agricultural/Plant production/Vegetables/Transformation,1
coriander,kilogram,transformation,material/Agricultural/Plant production/Vegetables/Transformation,2
cork slab,kilogram,market,material/Construction/Insulation/Market,2
cork slab,kilogram,market,material/Others/Obsolete,1
cork slab,kilogram,transformation,material/Construction/Insulation/Transformation,2
"cork, raw",kilogram,market,material/Others/Obsolete,1
"cork, raw",kilogram,market,material/Wood/Extraction/Market,2
"cork, raw",kilogram,transformation,material/Others/Obsolete,1
"cork, raw",kilogram,transformation,material/Wood/Extraction/Transformation,2
corrugated board box,kilogram,market,material/Others/Obsolete,1
corrugated board box,kilogram,market,material/Paper+ Board/Corrugated board/Market,4
corrugated board box,kilogram,transformation,material/Paper+ Board/Corrugated board/Transformation,4
cotton fibre,kilogram,transformation,material/Others/Obsolete,3
cotton seed,kilogram,market,material/Others/Obsolete,1
cotton seed,kilogram,transformation,material/Others/Obsolete,3
cottonseed,kilogram,market,material/Agricultural/Plant seeds/Market,3
cottonseed,kilogram,transformation,material/Agricultural/Plant seeds/Transformation,3
cottonseed meal,kilogram,market,material/Agricultural/Animal feed/Market,1
cottonseed meal,kilogram,transformation,material/Agricultural/Animal feed/Transformation,2
cottonseed meal,kilogram,transformation,material/Others/Obsolete,1
"cottonseed oil, crude",kilogram,market,material/Agricultural/Plant oils/Market,1
"cottonseed oil, crude",kilogram,transformation,material/Agricultural/Plant oils/Transformation,2
"cottonseed oil, crude",kilogram,transformation,material/Others/Obsolete,1
"cottonseed oil, refined",kilogram,market,material/Agricultural/Plant oils/Market,1
"cottonseed oil, refined",kilogram,transformation,material/Agricultural/Plant oils/Transformation,2
"cottonseed, for sowing",kilogram,market,material/Agricultural/Plant seeds/Market,1
"cottonseed, for sowing",kilogram,transformation,material/Agricultural/Plant seeds/Transformation,2
"cottonseed, organic",kilogram,market,material/Agricultural/Plant seeds/Market,2
"cottonseed, organic",kilogram,transformation,material/Agricultural/Plant seeds/Transformation,2
"cottonseed, organic, for sowing",kilogram,market,material/Agricultural/Plant seeds/Market,1
"cottonseed, organic, for sowing",kilogram,transformation,material/Agricultural/Plant seeds/Transformation,2
"cover plaster, mineral",kilogram,market,material/Construction/Coverings/Market,1
"cover plaster, mineral",kilogram,transformation,material/Construction/Coverings/Transformation,2
"cover plaster, organic",kilogram,market,material/Construction/Coverings/Market,1
"cover plaster, organic",kilogram,transformation,material/Construction/Coverings/Transformation,2
cow milk,kilogram,market,material/Agricultural/Food/Market,1
cow milk,kilogram,transformation,material/Agricultural/Food/Transformation,3
"cream, from cow milk",kilogram,market,material/Agricultural/Food/Market,1
"cream, from cow milk",kilogram,transformation,material/Agricultural/Food/Transformation,2
cross-laminated timber,cubic meter,market,material/Wood/Products/Market,2
cross-laminated timber,cubic meter,transformation,material/Wood/Products/Transformation,2
crust from Parkes process for lead production,kilogram,market,material/Metals/Non ferro/Market,1
crust from Parkes process for lead production,kilogram,market,waste treatment/Others/Obsolete,1
crust from Parkes process for lead production,kilogram,transformation,material/Metals/Non ferro/Transformation,1
cryolite,kilogram,market,material/Chemicals/Inorganic/Market,1
cryolite,kilogram,transformation,material/Chemicals/Inorganic/Transformation,3
cucumber,kilogram,market,material/Agricultural/Plant production/Vegetables/Market,1
cucumber,kilogram,transformation,material/Agricultural/Plant production/Vegetables/Transformation,1
cumene,kilogram,market,material/Chemicals/Organic/Market,1
cumene,kilogram,transformation,material/Chemicals/Organic/Transformation,2
curb side collection (waste scenario),kilogram,transformation,waste scenario/Others/Obsolete,3
cyanoacetic acid,kilogram,market,material/Chemicals/Acids (organic)/Market,2
cyanoacetic acid,kilogram,market,material/Others/Obsolete,1
cyanoacetic acid,kilogram,transformation,material/Chemicals/Acids (organic)/Transformation,2
cyanogen chloride,kilogram,market,material/Chemicals/Inorganic/Market,1
cyanogen chloride,kilogram,transformation,material/Chemicals/Inorganic/Transformation,2
cyanuric chloride,kilogram,market,material/Chemicals/Organic/Market,1
cyanuric chloride,kilogram,transformation,material/Chemicals/Organic/Transformation,1
cyclic N-compound,kilogram,market,material/Chemicals/Pesticides/Market,1
cyclic N-compound,kilogram,transformation,material/Chemicals/Pesticides/Transformation,2
cyclohexane,kilogram,market,material/Chemicals/Organic/Market,1
cyclohexane,kilogram,transformation,material/Chemicals/Organic/Transformation,2
cyclohexanol,kilogram,market,material/Chemicals/Organic/Market,2
cyclohexanol,kilogram,market,material/Others/Obsolete,1
cyclohexanol,kilogram,transformation,material/Chemicals/Organic/Transformation,2
cyclohexanone,kilogram,market,material/Chemicals/Organic/Market,2
cyclohexanone,kilogram,market,material/Others/Obsolete,1
cyclohexanone,kilogram,transformation,material/Chemicals/Organic/Transformation,2
dairy,cubic meter,market,material/Agricultural/Food/Market/Infrastructure,1
dairy,cubic meter,transformation,material/Agricultural/Food/Transformation/Infrastructure,1
daminozide,kilogram,market,material/Chemicals/Organic/Market,1
daminozide,kilogram,transformation,material/Chemicals/Organic/Transformation,1
de-icer,kilogram,market,material/Chemicals/Others/Market,1
de-icer,kilogram,transformation,material/Chemicals/Inorganic/Market,1
de-icer,kilogram,transformation,material/Chemicals/Others/Market,2
de-icer,kilogram,transformation,material/Others/Obsolete,1
decabromodiphenyl ether,kilogram,market,material/Chemicals/Organic/Market,1
decabromodiphenyl ether,kilogram,transformation,material/Chemicals/Organic/Transformation,2
decarbonising waste,kilogram,market,waste treatment/Others/Market,2
decarbonising waste,kilogram,market,waste treatment/Others/Obsolete,1
decarbonising waste,kilogram,transformation,waste treatment/Landfill/Residual material landfill/Transformation,2
"decommissioned airport infrastructure, contaminated gravel",unit,market,waste treatment/Construction waste/Market,1
"decommissioned airport infrastructure, contaminated gravel",unit,transformation,waste treatment/Construction waste/Transformation,2
decommissioned chemical production facilities,kilogram,market,waste treatment/Construction waste/Market,1
decommissioned chemical production facilities,kilogram,transformation,waste treatment/Construction waste/Transformation,2
"decommissioned pipeline, natural gas",kilogram,market,waste treatment/Others/Obsolete,1
"decommissioned pipeline, natural gas",kilogram,market,waste treatment/Transport/Market,2
"decommissioned pipeline, natural gas",kilogram,transformation,waste treatment/Landfill/Inert material landfill/Transformation,2
decommissioned road,meter-year,market,waste treatment/Transport/Market,1
decommissioned road,meter-year,transformation,waste treatment/Transport/Transformation,2
decommissioned tram track,meter-year,market,waste treatment/Others/Obsolete,1
decommissioned tram track,meter-year,market,waste treatment/Transport/Market,2
decommissioned tram track,meter-year,transformation,waste treatment/Transport/Transformation,2
"deep drawing, steel, 10000 kN press, automode",kilogram,market,processing/Metals/Chipless shaping/Market,1
"deep drawing, steel, 10000 kN press, automode",kilogram,transformation,processing/Metals/Chipless shaping/Transformation,2
"deep drawing, steel, 10000 kN press, single stroke",kilogram,market,processing/Metals/Chipless shaping/Market,1
"deep drawing, steel, 10000 kN press, single stroke",kilogram,transformation,processing/Metals/Chipless shaping/Transformation,2
"deep drawing, steel, 3500 kN press, automode",kilogram,market,processing/Metals/Chipless shaping/Market,1
"deep drawing, steel, 3500 kN press, automode",kilogram,transformation,processing/Metals/Chipless shaping/Transformation,2
"deep drawing, steel, 3500 kN press, single stroke",kilogram,market,processing/Metals/Chipless shaping/Market,1
"deep drawing, steel, 3500 kN press, single stroke",kilogram,transformation,processing/Metals/Chipless shaping/Transformation,2
"deep drawing, steel, 38000 kN press, automode",kilogram,market,processing/Metals/Chipless shaping/Market,1
"deep drawing, steel, 38000 kN press, automode",kilogram,transformation,processing/Metals/Chipless shaping/Transformation,2
"deep drawing, steel, 38000 kN press, single stroke",kilogram,market,processing/Metals/Chipless shaping/Market,1
"deep drawing, steel, 38000 kN press, single stroke",kilogram,transformation,processing/Metals/Chipless shaping/Transformation,2
"deep drawing, steel, 650 kN press, automode",kilogram,market,processing/Metals/Chipless shaping/Market,1
"deep drawing, steel, 650 kN press, automode",kilogram,transformation,processing/Metals/Chipless shaping/Transformation,2
"deep drawing, steel, 650 kN press, single stroke",kilogram,market,processing/Metals/Chipless shaping/Market,1
"deep drawing, steel, 650 kN press, single stroke",kilogram,transformation,processing/Metals/Chipless shaping/Transformation,2
deep well closure,meter,market,energy/Electricity by fuel/Geothermal/Market/Infrastructure,1
